data.county_name,extremelylow_avg,low_avg,verylow_avg,CDBG,Year_ID,County_ID
"Isabela Municipio, PR",7780.357142857143,20740.178571428572,12982.142857142857,738265,3,14
"Juana Díaz Municipio, PR",8083.928571428572,21531.25,13462.5,720411,3,15
"Manatí Municipio, PR",9729.464285714286,25933.035714285714,16222.32142857143,692099,3,16
"Mayagüez Municipio, PR",8717.857142857143,23208.928571428572,14510.714285714286,1399737,3,17
"Ponce Municipio, PR",8083.928571428572,21531.25,13462.5,2351583,3,18
"Río Grande Municipio, PR",9729.464285714286,25933.035714285714,16222.32142857143,695363,3,19
"San Germán Municipio, PR",7585.714285714285,20186.60714285714,12620.535714285714,535073,3,20
"San Juan Municipio, PR",9729.464285714286,25933.035714285714,16222.32142857143,6969795,3,21
"San Sebastián Municipio, PR",7780.357142857143,20740.178571428572,12982.142857142857,630781,3,22
"Toa Alta Municipio, PR",9729.464285714286,25933.035714285714,16222.32142857143,781162,3,23
"Toa Baja Municipio, PR",9729.464285714286,25933.035714285714,16222.32142857143,1034426,3,24
"Trujillo Alto Municipio, PR",9729.464285714286,25933.035714285714,16222.32142857143,774442,3,25
"Vega Baja Municipio, PR",9729.464285714286,25933.035714285714,16222.32142857143,826620,3,26
"Aguadilla Municipio, PR",7809.375,20819.791666666668,13032.291666666666,876284,4,1
"Arecibo Municipio, PR",8022.916666666667,21346.875,13340.625,1342974,4,2
"Bayamón Municipio, PR",9767.708333333334,26031.25,16282.291666666666,2149057,4,3
"Cabo Rojo Municipio, PR",7598.958333333333,20222.916666666668,12644.791666666666,840426,4,4
"Caguas Municipio, PR",9314.583333333334,24805.208333333332,15517.708333333334,1706443,4,5
"Canóvanas Municipio, PR",9767.708333333334,26031.25,16282.291666666666,707339,4,6
"Carolina Municipio, PR",9767.708333333334,26031.25,16282.291666666666,1757420,4,7
"Cayey Municipio, PR",9314.583333333334,24805.208333333332,15517.708333333334,603629,4,8
"Cidra Municipio, PR",9314.583333333334,24805.208333333332,15517.708333333334,575730,4,9
"Fajardo Municipio, PR",9042.708333333334,24071.875,15055.208333333334,489153,4,10
"Guayama Municipio, PR",7776.041666666667,20706.25,12944.791666666666,636562,4,11
"Guaynabo Municipio, PR",9767.708333333334,26031.25,16282.291666666666,842247,4,12
"Humacao Municipio, PR",9767.708333333334,26031.25,16282.291666666666,805703,4,13
"Isabela Municipio, PR",7809.375,20819.791666666668,13032.291666666666,738265,4,14
"Juana Díaz Municipio, PR",8104.166666666667,21579.166666666668,13489.583333333334,720411,4,15
"Manatí Municipio, PR",9767.708333333334,26031.25,16282.291666666666,692099,4,16
"Mayagüez Municipio, PR",8758.333333333334,23316.666666666668,14579.166666666666,1399737,4,17
"Ponce Municipio, PR",8104.166666666667,21579.166666666668,13489.583333333334,2351583,4,18
"Río Grande Municipio, PR",9767.708333333334,26031.25,16282.291666666666,695363,4,19
"San Germán Municipio, PR",7598.958333333333,20222.916666666668,12644.791666666666,535073,4,20
"San Juan Municipio, PR",9767.708333333334,26031.25,16282.291666666666,6969795,4,21
"San Sebastián Municipio, PR",7809.375,20819.791666666668,13032.291666666666,630781,4,22
"Toa Alta Municipio, PR",9767.708333333334,26031.25,16282.291666666666,781162,4,23
"Toa Baja Municipio, PR",9767.708333333334,26031.25,16282.291666666666,1034426,4,24
"Trujillo Alto Municipio, PR",9767.708333333334,26031.25,16282.291666666666,774442,4,25
"Vega Baja Municipio, PR",9767.708333333334,26031.25,16282.291666666666,826620,4,26
"Aguadilla Municipio, PR",7778.75,20735.0,12978.75,876284,5,1
"Arecibo Municipio, PR",8013.75,21327.5,13331.25,1342974,5,2
"Bayamón Municipio, PR",9727.5,25923.75,16215.0,2149057,5,3
"Cabo Rojo Municipio, PR",7587.5,20193.75,12627.5,840426,5,4
"Caguas Municipio, PR",9320.0,24811.25,15521.25,1706443,5,5
"Canóvanas Municipio, PR",9727.5,25923.75,16215.0,707339,5,6
"Carolina Municipio, PR",9727.5,25923.75,16215.0,1757420,5,7
"Cayey Municipio, PR",9320.0,24811.25,15521.25,603629,5,8
"Cidra Municipio, PR",9320.0,24811.25,15521.25,575730,5,9
"Fajardo Municipio, PR",9073.75,24148.75,15097.5,489153,5,10
"Guayama Municipio, PR",7820.0,20825.0,13018.75,636562,5,11
"Guaynabo Municipio, PR",9727.5,25923.75,16215.0,842247,5,12
"Humacao Municipio, PR",9727.5,25923.75,16215.0,805703,5,13
"Isabela Municipio, PR",7778.75,20735.0,12978.75,738265,5,14
"Juana Díaz Municipio, PR",8111.25,21606.25,13510.0,720411,5,15
"Manatí Municipio, PR",9727.5,25923.75,16215.0,692099,5,16
"Mayagüez Municipio, PR",8753.75,23302.5,14570.0,1399737,5,17
"Ponce Municipio, PR",8111.25,21606.25,13510.0,2351583,5,18
"Río Grande Municipio, PR",9727.5,25923.75,16215.0,695363,5,19
"San Germán Municipio, PR",7587.5,20193.75,12627.5,535073,5,20
"San Juan Municipio, PR",9727.5,25923.75,16215.0,6969795,5,21
"San Sebastián Municipio, PR",7778.75,20735.0,12978.75,630781,5,22
"Toa Alta Municipio, PR",9727.5,25923.75,16215.0,781162,5,23
"Toa Baja Municipio, PR",9727.5,25923.75,16215.0,1034426,5,24
"Trujillo Alto Municipio, PR",9727.5,25923.75,16215.0,774442,5,25
"Vega Baja Municipio, PR",9727.5,25923.75,16215.0,826620,5,26
